[2019/06/07 20:59:35][CONFIG][initLogger]  [32mLogging initialized.[0m
[2019/06/07 20:59:35][CONFIG][initService]  Starting service...
[2019/06/07 20:59:35][CONFIG][currentConfigs]  Scheme: http://
[2019/06/07 20:59:35][CONFIG][currentConfigs]  Hostname: 0.0.0.0
[2019/06/07 20:59:35][CONFIG][currentConfigs]  Port: 5389
[2019/06/07 20:59:35][CONFIG][currentConfigs]  Path: /api/g
[2019/06/07 20:59:35][CONFIG][currentConfigs]  Request Delay: 500
[2019/06/07 20:59:35][CONFIG][currentConfigs]  Number of threads in pool: 3
[2019/06/07 20:59:35][CONFIG][currentConfigs]  Logger output directory: ./logs/
[2019/06/07 20:59:35][CONFIG][currentConfigs]  Logger output file: gateway.log
[2019/06/07 20:59:35][CONFIG][currentConfigs]  Database hostname: columbo-v5.ics.uci.edu
[2019/06/07 20:59:35][CONFIG][currentConfigs]  Database port: 3306
[2019/06/07 20:59:35][CONFIG][currentConfigs]  Database username: cs122b_db92
[2019/06/07 20:59:35][CONFIG][currentConfigs]  Database password provided? true
[2019/06/07 20:59:35][CONFIG][currentConfigs]  Database name: cs122b_db92
[2019/06/07 20:59:35][CONFIG][currentConfigs]  Database driver: com.mysql.cj.jdbc.Driver
[2019/06/07 20:59:35][CONFIG][currentConfigs]  Database connection settings: ?autoReconnect=true&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=PST
[2019/06/07 20:59:35][CONFIG][currentConfigs]  [IDM] scheme: http://
[2019/06/07 20:59:35][CONFIG][currentConfigs]  [IDM] hostname: 0.0.0.0
[2019/06/07 20:59:35][CONFIG][currentConfigs]  [IDM] port: 5360
[2019/06/07 20:59:35][CONFIG][currentConfigs]  [IDM] path: /api/idm
[2019/06/07 20:59:35][CONFIG][currentConfigs]  [IDM][EP] Register User: /register
[2019/06/07 20:59:35][CONFIG][currentConfigs]  [IDM][EP] Login User: /login
[2019/06/07 20:59:35][CONFIG][currentConfigs]  [IDM][EP] Verify Session: /session
[2019/06/07 20:59:35][CONFIG][currentConfigs]  [IDM][EP] Verify User Privilege: /privilege
[2019/06/07 20:59:35][CONFIG][currentConfigs]  [Movies] scheme: http://
[2019/06/07 20:59:35][CONFIG][currentConfigs]  [Movies] hostname: 0.0.0.0
[2019/06/07 20:59:35][CONFIG][currentConfigs]  [Movies] port: 5361
[2019/06/07 20:59:35][CONFIG][currentConfigs]  [Movies] path: /api/movies
[2019/06/07 20:59:35][CONFIG][currentConfigs]  [Movies][EP] Search Movie: /search
[2019/06/07 20:59:35][CONFIG][currentConfigs]  [Movies][EP] Get Movie: /get/{movieId}
[2019/06/07 20:59:35][CONFIG][currentConfigs]  [Movies][EP] Add Movie: /add
[2019/06/07 20:59:35][CONFIG][currentConfigs]  [Movies][EP] Delete Movie: /delete/{movieId}
[2019/06/07 20:59:35][CONFIG][currentConfigs]  [Movies][EP] Get All Genres: /genre
[2019/06/07 20:59:35][CONFIG][currentConfigs]  [Movies][EP] Add Genre: /genre/add
[2019/06/07 20:59:35][CONFIG][currentConfigs]  [Movies][EP] Get All Genres For Movie: /genre/{movieId}
[2019/06/07 20:59:35][CONFIG][currentConfigs]  [Movies][EP] Search Star: /star/search
[2019/06/07 20:59:35][CONFIG][currentConfigs]  [Movies][EP] Get Star: /star/{id}
[2019/06/07 20:59:35][CONFIG][currentConfigs]  [Movies][EP] Add Star to Movie: /star/starsin
[2019/06/07 20:59:35][CONFIG][currentConfigs]  [Movies][EP] Update Movie Rating: /rating
[2019/06/07 20:59:35][CONFIG][currentConfigs]  [Billing] scheme: http://
[2019/06/07 20:59:35][CONFIG][currentConfigs]  [Billing] hostname: 0.0.0.0
[2019/06/07 20:59:35][CONFIG][currentConfigs]  [Billing] port: 5359
[2019/06/07 20:59:35][CONFIG][currentConfigs]  [Billing] path: /api/billing
[2019/06/07 20:59:35][CONFIG][currentConfigs]  [Billing][EP] Update Cart: /cart/update
[2019/06/07 20:59:35][CONFIG][currentConfigs]  [Billing][EP] Delete Cart: /cart/delete
[2019/06/07 20:59:35][CONFIG][currentConfigs]  [Billing][EP] Retrieve Cart: /cart/retrieve
[2019/06/07 20:59:35][CONFIG][currentConfigs]  [Billing][EP] Clear Cart: /cart/clear
[2019/06/07 20:59:35][CONFIG][currentConfigs]  [Billing][EP] Insert Cart: /cart/insert
[2019/06/07 20:59:35][CONFIG][currentConfigs]  [Billing][EP] Insert Credit Card: /creditcard/insert
[2019/06/07 20:59:35][CONFIG][currentConfigs]  [Billing][EP] Update Credit Card: /creditcard/update
[2019/06/07 20:59:35][CONFIG][currentConfigs]  [Billing][EP] Delete Credit Card: /creditcard/delete
[2019/06/07 20:59:35][CONFIG][currentConfigs]  [Billing][EP] Retrieve Credit Card: /creditcard/retrieve
[2019/06/07 20:59:35][CONFIG][currentConfigs]  [Billing][EP] Insert Customer: /customer/insert
[2019/06/07 20:59:35][CONFIG][currentConfigs]  [Billing][EP] Update Customer: /customer/update
[2019/06/07 20:59:35][CONFIG][currentConfigs]  [Billing][EP] Retrieve Customer: /customer/retrieve
[2019/06/07 20:59:35][CONFIG][currentConfigs]  [Billing][EP] Place Order: /order/place
[2019/06/07 20:59:35][CONFIG][currentConfigs]  [Billing][EP] Retrieve Order: /order/retrieve
[2019/06/07 20:59:35][CONFIG][initConnectionPool]  Initializing connection pool...
[2019/06/07 20:59:35][CONFIG][<init>]  Initializing connection pool...
[2019/06/07 20:59:35][CONFIG][<init>]  Creating connection #1
[2019/06/07 20:59:36][CONFIG][<init>]  Creating connection #2
[2019/06/07 20:59:37][CONFIG][<init>]  Creating connection #3
[2019/06/07 20:59:37][CONFIG][initConnectionPool]  [32mConnection pool initialized.[0m
[2019/06/07 20:59:37][CONFIG][initThreadPool]  Initializing thread pool.
[2019/06/07 20:59:37][CONFIG][<init>]  Creating worker: 0
[2019/06/07 20:59:37][CONFIG][<init>]  Starting worker: 0
[2019/06/07 20:59:37][CONFIG][<init>]  Creating worker: 1
[2019/06/07 20:59:37][CONFIG][<init>]  Starting worker: 1
[2019/06/07 20:59:37][CONFIG][<init>]  Creating worker: 2
[2019/06/07 20:59:37][CONFIG][<init>]  Starting worker: 2
[2019/06/07 20:59:37][CONFIG][initThreadPool]  [32mInitializing thread pool.[0m
[2019/06/07 20:59:37][CONFIG][initHTTPServer]  Initializing HTTP server...
[2019/06/07 20:59:37][CONFIG][initHTTPServer]  Building URI from configs...
[2019/06/07 20:59:37][CONFIG][initHTTPServer]  Final URI: http://0.0.0.0:5389/api/g
[2019/06/07 20:59:37][CONFIG][initHTTPServer]  Set Jersey resources.
[2019/06/07 20:59:37][CONFIG][initHTTPServer]  Set Jackson as serializer.
[2019/06/07 20:59:37][CONFIG][initHTTPServer]  Starting HTTP server...
[2019/06/07 20:59:41][CONFIG][initHTTPServer]  [32mHTTP server started.[0m
[2019/06/07 20:59:41][CONFIG][initService]  [32mService initialized.[0m
[2019/06/07 20:59:55][INFO][loginUserRequest]  Received request to login a user.
[2019/06/07 20:59:55][INFO][verifyModel]  Verifying model format...
[2019/06/07 20:59:55][INFO][verifyModel]  Attempting to deserialize JSON to POJO
[2019/06/07 20:59:55][INFO][verifyModel]  Successfully deserialized JSON to POJO.
[2019/06/07 20:59:55][INFO][verifyModel]  Model has been validated.
[2019/06/07 20:59:55][INFO][process]  Building client...
[2019/06/07 20:59:55][INFO][process]  Building WebTarget...
[2019/06/07 20:59:55][INFO][process]  Starting invocation builder...
[2019/06/07 20:59:55][INFO][process]  Setting payload of the request
[2019/06/07 20:59:55][INFO][process]  Sending request...
[2019/06/07 20:59:55][INFO][process]  This is a POST request
[2019/06/07 20:59:56][INFO][process]  Sent!
[2019/06/07 20:59:56][INFO][report]  EMAIL: LIWy4P4Eph@MXDzf.com
[2019/06/07 20:59:56][INFO][report]  SESSIONID: null
[2019/06/07 20:59:56][INFO][report]  TRANSACTIONID: fe4864d7549897c8de6fae774c32faf2b210a0472f9a8672b47e667c5cd407e6b0005648e28d1c4af1a3295bb4c07d5580e9a440f772040149a10d9c42e46f17
[2019/06/07 20:59:56][INFO][report]  Trying query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT response, httpstatus FROM responses WHERE transactionId = 'fe4864d7549897c8de6fae774c32faf2b210a0472f9a8672b47e667c5cd407e6b0005648e28d1c4af1a3295bb4c07d5580e9a440f772040149a10d9c42e46f17';
[2019/06/07 20:59:56][INFO][registerUserRequest]  Received request to register user.
[2019/06/07 20:59:56][INFO][verifyModel]  Verifying model format...
[2019/06/07 20:59:56][INFO][verifyModel]  Attempting to deserialize JSON to POJO
[2019/06/07 20:59:56][INFO][verifyModel]  Successfully deserialized JSON to POJO.
[2019/06/07 20:59:56][INFO][verifyModel]  Model has been validated.
[2019/06/07 20:59:56][INFO][process]  Building client...
[2019/06/07 20:59:56][INFO][process]  Building WebTarget...
[2019/06/07 20:59:56][INFO][process]  Starting invocation builder...
[2019/06/07 20:59:56][INFO][process]  Setting payload of the request
[2019/06/07 20:59:56][INFO][process]  Sending request...
[2019/06/07 20:59:56][INFO][process]  This is a POST request
[2019/06/07 20:59:57][INFO][process]  Sent!
[2019/06/07 20:59:57][INFO][report]  EMAIL: LIWy4P4Eph@MXDzf.com
[2019/06/07 20:59:57][INFO][report]  SESSIONID: null
[2019/06/07 20:59:57][INFO][report]  TRANSACTIONID: 31a2109bf31c2618a96364a9ab3080fdab297194fd8672b7072b54ad5e54265daa406599c1342a37bf45b162820cec4fd715453c02f7f41eeb51a07bffd95961
[2019/06/07 20:59:57][INFO][report]  Trying query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT response, httpstatus FROM responses WHERE transactionId = '31a2109bf31c2618a96364a9ab3080fdab297194fd8672b7072b54ad5e54265daa406599c1342a37bf45b162820cec4fd715453c02f7f41eeb51a07bffd95961';
[2019/06/07 20:59:57][INFO][insertCreditCardRequest]  Received request to insert a creditcard.
[2019/06/07 20:59:57][INFO][insertCreditCardRequest]  Email: LIWy4P4Eph@MXDzf.com
[2019/06/07 20:59:57][INFO][insertCreditCardRequest]  SessionID: null
[2019/06/07 20:59:57][INFO][insertCreditCardRequest]  TransactionID: 356c39cb4a8db368f284953781e66b1e1c36ceda0a8b7a082e954ce6dbf25607fc10fcce14f3fbb90d3aae7b19feba0cbe29210fe183228a3ee890292a1424c5
[2019/06/07 20:59:57][INFO][insertCreditCardRequest]  SessionID is null
[2019/06/07 20:59:57][INFO][loginUserRequest]  Received request to login a user.
[2019/06/07 20:59:57][INFO][verifyModel]  Verifying model format...
[2019/06/07 20:59:57][INFO][verifyModel]  Attempting to deserialize JSON to POJO
[2019/06/07 20:59:57][INFO][verifyModel]  Successfully deserialized JSON to POJO.
[2019/06/07 20:59:57][INFO][verifyModel]  Model has been validated.
[2019/06/07 20:59:57][INFO][process]  Building client...
[2019/06/07 20:59:57][INFO][process]  Building WebTarget...
[2019/06/07 20:59:57][INFO][process]  Starting invocation builder...
[2019/06/07 20:59:57][INFO][process]  Setting payload of the request
[2019/06/07 20:59:57][INFO][process]  Sending request...
[2019/06/07 20:59:57][INFO][process]  This is a POST request
[2019/06/07 20:59:58][INFO][process]  Sent!
[2019/06/07 20:59:58][INFO][report]  EMAIL: LIWy4P4Eph@MXDzf.com
[2019/06/07 20:59:58][INFO][report]  SESSIONID: null
[2019/06/07 20:59:58][INFO][report]  TRANSACTIONID: 334a021cbf9964c8308b84571f07e67f5b32c1b53b041197708a1e441a5fdabeafd8f6f03d0c94c9444b552d2c7460f4570eee564b29387268945d91616ab1e4
[2019/06/07 20:59:58][INFO][report]  Trying query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT response, httpstatus FROM responses WHERE transactionId = '334a021cbf9964c8308b84571f07e67f5b32c1b53b041197708a1e441a5fdabeafd8f6f03d0c94c9444b552d2c7460f4570eee564b29387268945d91616ab1e4';
[2019/06/07 20:59:58][INFO][loginUserRequest]  Received request to login a user.
[2019/06/07 20:59:58][INFO][verifyModel]  Verifying model format...
[2019/06/07 20:59:58][INFO][verifyModel]  Attempting to deserialize JSON to POJO
[2019/06/07 20:59:58][INFO][verifyModel]  Successfully deserialized JSON to POJO.
[2019/06/07 20:59:58][INFO][verifyModel]  Model has been validated.
[2019/06/07 20:59:58][INFO][process]  Building client...
[2019/06/07 20:59:58][INFO][process]  Building WebTarget...
[2019/06/07 20:59:58][INFO][process]  Starting invocation builder...
[2019/06/07 20:59:58][INFO][process]  Setting payload of the request
[2019/06/07 20:59:58][INFO][process]  Sending request...
[2019/06/07 20:59:58][INFO][process]  This is a POST request
[2019/06/07 20:59:59][INFO][process]  Sent!
[2019/06/07 20:59:59][INFO][report]  EMAIL: LIWy4P4Eph@MXDzf.com
[2019/06/07 20:59:59][INFO][report]  SESSIONID: null
[2019/06/07 20:59:59][INFO][report]  TRANSACTIONID: 63d6baa78f75eeef584a94294c46b44c5169a39d91758978d2000f56be2f8098f0a86fc9f6df383d1cb9b1f1e43670085f9dc24918f016aefd12b39f5793e07d
[2019/06/07 20:59:59][INFO][report]  Trying query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT response, httpstatus FROM responses WHERE transactionId = '63d6baa78f75eeef584a94294c46b44c5169a39d91758978d2000f56be2f8098f0a86fc9f6df383d1cb9b1f1e43670085f9dc24918f016aefd12b39f5793e07d';
[2019/06/07 20:59:59][INFO][insertCreditCardRequest]  Received request to insert a creditcard.
[2019/06/07 20:59:59][INFO][insertCreditCardRequest]  Email: LIWy4P4Eph@MXDzf.com
[2019/06/07 20:59:59][INFO][insertCreditCardRequest]  SessionID: 47cd3b3dc2986649389f28e83f28874b5f3584218cc32c93812c57b8c152ff08fc220af14c8d70b5ea15f351aa8f8aaf97701b9b18446b0997d247108a69ecc9
[2019/06/07 20:59:59][INFO][insertCreditCardRequest]  TransactionID: 9bbcbed9a0575f09f69fe9ee2d2b6dc91e7e9e521bb9b3b66da88c27ef0c57be7453a37a94a71f01afe104d966d2d1ba7488ca69a34a46e8aa36963c2730ac86
[2019/06/07 20:59:59][INFO][insertCreditCardRequest]  Verifying session with IDM...
[2019/06/07 20:59:59][INFO][insertCreditCardRequest]  Building client...
[2019/06/07 20:59:59][INFO][insertCreditCardRequest]  Building URI...
[2019/06/07 20:59:59][INFO][insertCreditCardRequest]  Setting path to endpoint...
[2019/06/07 20:59:59][INFO][insertCreditCardRequest]  Building WebTarget...
